"quarter";"zip2000";"zip2800";"zip7400";"zip8900";"cpi";"discount";"real30yr"
"X1992K1";6504;7968;5222;3571;84.2;9.5;9.91
"X1992K2";6557;8055;5199;4851;85;9.5;10.06
"X1992K3";6452;7980;4820;3542;85;9.5;10.6
"X1992K4";6752;8005;5584;3667;84.9;9.5;10.17
"X1993K1";6184;7345;5171;3378;85.2;9.5;8.88
"X1993K2";6249;7113;5324;3458;85.7;7.75;7.36
"X1993K3";6444;7443;5816;3894;86;8.25;7.4
"X1993K4";6455;7697;5335;4112;86.2;6.25;7.11
"X1994K1";6297;9385;6098;3563;86.7;5.5;7.82
"X1994K2";6305;7684;5183;3797;87.5;5;8.94
"X1994K3";6492;9265;5681;3862;87.7;5;9.6
"X1994K4";6640;7634;5131;3656;88.1;5;9.73
"X1995K1";6676;7415;5951;3886;88.9;6;9.95
"X1995K2";6715;7212;5654;3640;89.3;6;9.62
"X1995K3";6715;7597;5868;3931;89.6;5;9.16
"X1995K4";6871;8042;6348;4008;89.8;4.25;8.36
"X1996K1";6985;7716;5582;4539;90.7;3.75;8.69
"X1996K2";7561;8330;6333;4414;91.1;3.25;8.73
"X1996K3";7882;8805;6297;4642;91.6;3.25;8.17
"X1996K4";7967;9082;6223;4859;91.8;3.25;7.87
"X1997K1";8435;8671;6187;4634;92.2;3.25;7.99
"X1997K2";8681;8753;7043;4610;93.3;3.25;7.58
"X1997K3";9009;9661;6226;5525;93.7;3.25;7.42
"X1997K4";9344;10636;6849;5411;93.8;3.5;7.28
"X1998K1";9661;11307;6741;5119;94.3;3.5;6.49
"X1998K2";10193;11015;6837;5551;94.9;3.75;6.36
"X1998K3";10694;11200;7149;5749;95.3;4.25;6.47
"X1998K4";10774;11813;6843;5927;95.4;3.5;6.34
"X1999K1";11563;12156;7441;5993;96.5;3.25;6.32
"X1999K2";12027;13065;7579;6137;97.2;2.75;6.63
"X1999K3";12850;13206;7594;6006;98;2.75;7.66
"X1999K4";12689;13269;8603;6370;98.4;3;7.45
"X2000K1";12788;13255;8274;5927;99.6;3.5;7.25
"X2000K2";13425;13920;7585;6138;100.4;4.25;7.64
"X2000K3";13659;14229;7615;5972;100.6;4.5;7.46
"X2000K4";14158;14800;7238;6092;100.8;4.75;7.3
"X2001K1";15133;15149;6737;6201;101.9;4.75;7.16
"X2001K2";15726;15355;7510;6707;102.7;4.5;6.69
"X2001K3";16078;16770;8154;6474;102.9;3.75;6.44
"X2001K4";16678;15478;8124;5991;103;3.25;6.55
"X2002K1";17217;15572;8073;6052;104.5;3.25;6.63
"X2002K2";17421;17203;7717;6726;105;3.25;6.45
"X2002K3";17617;17591;7721;6221;105.4;3.25;6.13
"X2002K4";17559;17007;8090;6710;105.6;2.75;5.47
"X2003K1";17501;15663;8047;6572;107.5;2.5;5.42
"X2003K2";17908;17857;8187;6463;107.3;2;5.29
"X2003K3";18669;18530;8182;6973;107.4;2;5.43
"X2003K4";18337;18400;8861;6939;107.1;2;5.45
"X2004K1";18826;18469;9078;7054;108.3;2;5.2
"X2004K2";19685;20242;9830;8037;108.5;2;5.49
"X2004K3";20639;19083;9284;7847;108.6;2;5.24
"X2004K4";21665;19438;9671;7757;108.4;2;5.07
"X2005K1";23265;22350;9213;7685;109.8;2;4.46
"X2005K2";25929;23161;10190;8300;110.4;2;4.18
"X2005K3";27685;25103;10245;8920;111.2;2;4.24
"X2005K4";30531;27726;11005;8881;110.8;2.25;4.39
"X2006K1";34114;28968;12366;10257;111.9;2.5;4.76
"X2006K2";34814;32393;12717;10853;112.8;2.75;5.425
"X2006K3";32790;31324;12386;12058;112.9;3;5.183
"X2006K4";31220;29832;12448;12477;112.8;3.5;5.24
"X2007K1";29413;26615;12931;12355;114.1;3.75;5.232
"X2007K2";29799;28617;12648;12990;114.4;4;5.628
"X2007K3";28503;26316;13515;13179;114.3;4;5.561
"X2007K4";27269;24390;12880;11794;115.4;4;5.607
"X2008K1";26240;26326;13922;11911;117.6;4;5.612
"X2008K2";26041;23699;14324;11452;118.8;4;6.084
"X2008K3";25238;21326;13715;12167;119.1;4.25;6.662
"X2008K4";22017;18755;11621;11143;118.2;3.5;6.208
"X2009K1";21005;17575;12643;12338;119.7;2;6.052
"X2009K2";21023;18150;11657;10048;120.2;1.2;5.416
"X2009K3";22785;20157;13536;10554;120.1;1;5.19
"X2009K4";23170;20642;12689;10738;119.9;1;5.188
"X2010K1";23368;19645;11540;10286;122.3;0.75;5.012
"X2010K2";24458;22333;11533;10892;122.3;0.75;4.795
"X2010K3";25820;19697;12442;11243;123.2;0.75;4.147
"X2010K4";24801;21506;11444;10153;123.3;0.75;4.533
"X2011K1";26182;21935;13153;10733;125.6;0.75;5.23
"X2011K2";25652;21777;12799;11390;126;1;5.16
"X2011K3";24644;19973;11318;10618;126.3;1.25;4.15
"X2011K4";25182;17938;12046;10286;126.4;0.75;3.94
"X2012K1";24604;20343;12447;9471;129;0.75;3.96
"X2012K2";24734;19150;12481;10623;128.8;0.25;3.71
"X2012K3";24862;18862;12749;10383;129.5;0;3.57
"X2012K4";25611;21433;12946;12085;128.9;0;3.28
